T:name: indikitch loc:ivy, tweet: 675046759895289857  :  im at @indikitch in new york ny @link (40.765819,-73.983354)35940413
T:name: ootoya loc:village taverna greek grill, tweet: 675047611972362244  :  foodporn shot @ ootoya @link (40.7333107,-73.9929962)210493186
M:name: metropolitan museum of art loc:members dining room @ the met museum, tweet: 675047798912507904  :  hey honus @ the metropolitan museum of art new york @link (40.77912965,-73.96297384)795789
M:name: metropolitan museum of art loc:members dining room @ the met museum, tweet: 675048139380928513  :  wisdom begins in wonder @ the metropolitan museum of art new york @link (40.77912965,-73.96297384)353247703
M:name: metropolitan museum of art loc:members dining room @ the met museum, tweet: 675048940933353472  :  shoeless joe @ the metropolitan museum of art new york @link (40.77912965,-73.96297384)795789
M:name: metropolitan museum of art loc:members dining room @ the met museum, tweet: 675049356932829185  :  major league secrets @ the metropolitan museum of art new york @link (40.77912965,-73.96297384)795789
T:name: crave fish bar loc:starbucks coffee, tweet: 675050721579016192  :  look who organized the beer cooler #adamprojects #cravefishbar @ crave fishbar @link (40.75503003,-73.96851912)22116591
M:name: metropolitan museum of art loc:members dining room @ the met museum, tweet: 675051622112862210  :   13 @ the metropolitan museum of art new york @link (40.77912965,-73.96297384)242308766
T:name: capitale loc:double crispy bakery, tweet: 675052468917690368  :  new venue this year #ksny #holidayparty #capitale (@ capitale in new york ny @link (40.71880478,-73.99501746)313368275
T:name: blue note jazz loc:ramen-ya, tweet: 675052474814832642  :  #bluenote #bluenotejazz #bluenotejazzclub #bluenotenyc #bluenotemanhattan #manhattan #nyc… @link (40.73088057,-74.00077046)379048731
M:name: metropolitan museum of art loc:members dining room @ the met museum, tweet: 675055317705752576  :  just posted a photo @ the metropolitan museum of art new york @link (40.77912965,-73.96297384)766582195
T:name: open kitchen loc:benton cafe, tweet: 675057448378568704  :  #cool #random #things in #nyc at #openkitchen on a #thursday #nofilter @ open kitchen nyc @link (40.7093086,-74.0071335)40086415
T:name: waldorf astoria loc:sir harry's, tweet: 675057492825653252  :  #thewaldorf #nyc #luxury #njalatthewaldorf @ waldorf astoria new york @link (40.75652616,-73.97354189)34204232
T:name: bergen pizza loc:chan yang restaurant, tweet: 675059378194677760  :  im at bergen pizza in brooklyn ny @link (40.68072918,-73.97449446)22990826
T:name: the new york palace hotel loc:villard michel richard, tweet: 675064933088894976  :  every brunette needs a blonde best friend @ the new york palace hotel @link (40.7580735,-73.9752305)101120125
T:name: the duck loc:indo-pak halal restaurant, tweet: 675073265509994496  :  im at @theduck in new york ny @link (40.79439631,-73.93995166)26598221
M:name: metropolitan museum of art loc:members dining room @ the met museum, tweet: 675076579626758144  :  squad boutta take up the delaware @ the metropolitan museum of art new york @link (40.77912965,-73.96297384)3013661392
T:name: vintry loc:smorgas chef/ crepes du nord, tweet: 675082093462966273  :  holiday party   @ vintry wine  whiskey @link (40.7045174,-74.0103149)103654795
T:name: negril loc:kopi kopi, tweet: 675084964791209984  :  #just #arrived @ negril village @link (40.7293282,-73.9984283)27017561
M:name: metropolitan museum of art loc:members dining room @ the met museum, tweet: 675088148590931971  :  egypt #met @metmuseum #nyc @ the metropolitan museum of art new york @link (40.77912965,-73.96297384)63169402
