name: dominies loc:ramen & yakitori, tweet: 674439587318599680  :  doorflakes dominiesastoria #dominies #dominiesastoria #snowflake #papersnowflake #bar #astoria… @link (40.7656934,-73.91872224)2398163226
name: quality meats loc:angela's deli, tweet: 674440089418735616  :  happy birthday amy @ quality meats @link (40.765049,-73.9762497)32171665
name: udon west loc:oh taisho, tweet: 674444574799065092  :  oh yessss (@ udon west in new york ny @link (40.72931975,-73.98924)257494875
name: the randolph at broome loc:randolph beer, tweet: 674448941279084545  :  im at the randolph at broome  @therandolphnyc in new york ny @link (40.71977014,-73.99493712)24651686
name: metropolitan museum of art loc:metropolitan museum employee cafeteria, tweet: 674465507815260160  :  these beauties #charityball2015 repping @tgctribeca @ the metropolitan museum of art new york @link (40.77912965,-73.96297384)25252152
name: creperie loc:thelewala, tweet: 674474434384830464  :  @creperienyc #creperie #nyc photocredit mudd786 @ crêperie @link (40.7295494,-74.0005417)116343244
name: sullivan street bakery loc:company, tweet: 674575385128865792  :  just how i like it  #coffee #freelancelife @ sullivan street bakery 9th ave @link (40.74728318,-74.00053821)87512392
name: double dutch espresso loc:mess hall, tweet: 674601720706543616  :  i love my neighborhood #nyc @ double dutch espresso @link (40.8058357,-73.9541321)66521778
name: essex loc:davidovich bakery, tweet: 674604355199332352  :  lettuce heads @ essex street market @link (40.7193413,-73.9876022)500873016
name: culture espresso loc:pier 79/ny waterway seattle cafe, tweet: 674610852100730880  :  im at culture espresso in new york ny w @hettonzo @link (40.75228555,-73.98580075)16361455
name: metropolitan museum of art loc:metropolitan museum roof top garden cafe, tweet: 674618391186030592  :  princesse de broglie @ the metropolitan museum of art new york @link (40.77912965,-73.96297384)238446527
name: dudleys loc:casa mezcal, tweet: 674620610723581952  :  #coffee #coffeeeveryday #counterculturecoffee #dudleys #les #nyc @ dudleys nyc @link (40.71810152,-73.99028333)82092897
name: waldorf astoria loc:bull & bear waldorf astoria, tweet: 674622907801329664  :  today seems like a good day to be awesome @ waldorf astoria new york @link (40.75652616,-73.97354189)62702549
name: pret a manger loc:liquiteria, tweet: 674625993290735616  :  vanilla chai at @pret a manger in new york ny @link (40.73718516,-73.99058707)20450591
