Loc: irving plazaName: irving plaza675010108393328640  :  last night was seriously awesome thegetupkids at irvingplaza #nyc. #thegetupkids #anniversary… @link (40.7349586,-73.9884796)29382870
Loc: essexName: essex675013821476569089  :  tis the season #tamale #time at pueblas new location inside essexstreetmarket  @ essex @link (40.7193413,-73.9876022)42118048
Loc: metropolitan museum of artName: metropolitan museum of art675014049210478592  :  missing file poo @ the metropolitan museum of art new york @link (40.77912965,-73.96297384)29926486
Loc: cafe orlinName: cafe orlin675014420314071040  :  prefinals studying brunching at my fav cafe at @cafeorlin in new york ny w @cressamaicaa) @link (40.7284627,-73.98732733)384678003
Loc: amazuraName: amazura675014501171904513  :  errol dunkley at amazura queensny 12515 @picatra #erroldunkley #reggae @ amazura @link (40.7001686,-73.8103714)3793248856
Loc: blt primeName: blt prime675017489198292992  :  seasonality at @bltprime in new york ny @link @link (40.73930573,-73.98625987)248063775
Loc: hops hillName: hops hill675018221553078272  :  citra hops hill ipa now available on tap @link @barrierbrewing #beermenus (40.6830342,-73.9656313)2320339639
Loc: goldman sachsName: goldman sachs675019882996637696  :  here to pick up new debit card (@ goldman sachs in new york ny w @zmh) @link @link (40.7147853,-74.01422739)61896141
Loc: stumptown coffee roastersName: stumptown coffee roasters675019970313633792  :  my people hello stumptowncoffee @ stumptown coffee roasters @link (40.7327003,-73.9980316)29060984
Loc: cafe clunyName: cafe cluny675020380713652224  :  im at cafe cluny in new york ny @link @link (40.73753536,-74.003886)204763046
Loc: amelieName: amelie675021818521108482  :  taking a break from eating haha @ amelie new york @link (40.73273314,-73.99763509)22772164
Loc: sweetgreen Name: sweetgreen 675022224726691840  :  #tastetherainbow  @ sweetgreen @link (40.7448968,-73.98885873)1473243013
Loc: sweetgreen Name: sweetgreen 675026876231000064  :  the addiction is real?@sweetgreen @ sweetgreen @link (40.7157211,-73.9590988)2783435472
Loc: bareburgerName: bareburger675028791161262080  :  lunch time #bareburger #roadtorecovery  @ bare burger @link (40.7684593,-73.9551392)22574170
Loc: habana outpostName: habana outpost675030359344611328  :  the booboo express @ habana outpost @link (40.68639425,-73.97437209)493749710
Loc: stagecoach tavernName: stagecoach tavern675032713422876673  :  cool few for lunch @ the stagecoach tavern @link (40.7633858,-73.9817734)366966617
Loc: le soukName: le souk675035183398182912  :  #ynvsdj #letsdoit @ le souk restaurant @link (40.7277145,-73.9994507)44472390
Loc: joeName: joe675035350075600896  :  im at joe in new york ny @link (40.80997649,-73.9618063)14061089
Loc: donut shoppeName: donut shoppe675036669519798272  :  im at donut shoppe in brooklyn ny @link (40.59888157,-73.95619243)24042122
Loc: sweet chickName: sweet chick675036969362132993  :  chicken and waffles of the bucket list  @ sweet chick @link (40.718399,-73.9573975)16361455
Loc: new york stock exchangeName: new york stock exchange675038319424757760  :  sara gilbert sighting new york new york new york stock exchange @link (40.7068661,-74.0113189)81237494
Loc: new york stock exchangeName: new york stock exchange675038371413127168  :  julie chen sighting new york new york new york stock exchange @link (40.7068661,-74.0113189)81237494
Loc: opera cafe loungeName: opera cafe lounge675039947263508482  :  im at opera cafe lounge  @operacafeny in brooklyn ny @link (40.58382706,-73.94464727)120023331
Loc: bunna cafeName: bunna cafe675041411998359552  :  #waterbrain puts on layers #underthegrassroof @ bunna cafe @link (40.7048302,-73.9280319)302756785
Loc: sant ambroeusName: sant ambroeus675044378302390272  :  feet @ sant ambroeus west village @link (40.7354012,-74.0031433)2213296180
Loc: the beanName: the bean675046293450944513  :  i heart this wall @ the bean new york @link (40.7284012,-73.9850616)317407799
Loc: peace food cafeName: peace food cafe675046734960140288  :  yo sólo vine por recomendación de @beckysantoyo at @peacefoodcafe in new york ny @link (40.7852107,-73.97691647)24780056
Loc: by chloeName: by chloe675048846494441474  :  no eggeggnog #vegan #nyc @ by chloe @link (40.7292519,-74.0009003)22772164
Loc: five leavesName: five leaves675049633287159812  :  im at @fiveleavesny in brooklyn ny @link (40.72360525,-73.95165604)30018572
Loc: john brown smokehouseName: john brown smokehouse675051462095958016  :  im at john brown smokehouse  @johnbrownsmoke in long island city ny @link (40.74879316,-73.95006895)53828573
Loc: colina cuervoName: colina cuervo675052814431817731  :  #latelunch  meeting @ colina cuervo @link (40.67133908,-73.9503788)16089411
Loc: le soukName: le souk675056470833160193  :  #ynvsdj #weworking @ le souk restaurant @link (40.7277145,-73.9994507)44472390
Loc: silvanaName: silvana675056893077925891  :  green ring nebula @ silvana @link (40.80455349,-73.955671)39195619
Loc: waldorf astoriaName: waldorf astoria675057492825653252  :  #thewaldorf #nyc #luxury #njalatthewaldorf @ waldorf astoria new york @link (40.75652616,-73.97354189)34204232
Loc: zuttoName: zutto675057878001164293  :  im at zutto japanese american pub  @zuttonyc in new york ny @link (40.71842432,-74.00897563)99876399
Loc: double down saloonName: double down saloon675058217337151491  :  just posted a photo @ double down saloon  new york city @link (40.7225113,-73.9857407)27067466
Loc: gramercy cafeName: gramercy cafe675059242857033728  :  im at gramercy cafe in new york ny @link (40.73524877,-73.98590405)21803491
Loc: metropolitanName: metropolitan675060021810569218  :  #starbuckslovers #1989 happy hour right now @ metropolitan bar @link (40.7135887,-73.9496689)14867751
Loc: tonic eastName: tonic east675060396345151489  :  im at @toniceast in new york ny @link (40.74252389,-73.98034856)64385877
Loc: the spotted pigName: the spotted pig675060499923542016  :  the spotted pig dirty martini with alfonso olives ?#thirstythursday @ the spotted pig @link (40.735611,-74.0066833)376851560
Loc: westvilleName: westville675061434926149633  :  bae  #westville  #brunch  #basicbetcheslovebrunch  #nyceats  #newyorktho  #myeeeetravels… @link (40.74186,-74.00001)234247903
Loc: videologyName: videology675061952956268547  :  taylor and trudy  @ videology bar  cinema @link (40.7138901,-73.9619293)292038253
Loc: metropolitanName: metropolitan675062836184399872  :  #tbt #messico miss u knpaiz @ metropolitan bar @link (40.7135887,-73.9496689)14867751
Loc: algonquin hotelName: algonquin hotel675063424615862276  :  im at algonquin hotel times square autograph collection  @algonquinnyc in new york ny @link (40.755939,-73.982372)20922874
Loc: westside tavernName: westside tavern675063856247537665  :  happy in #newyork #manhattan #bigapple #usa @ westside tavern @link (40.7460289,-74.0009689)237458595
Loc: by chloeName: by chloe675064710744682498  :  more #vegan things we ate #nyc #cantstopwontstop @ by chloe @link (40.7292519,-74.0009003)22772164
Loc: by chloeName: by chloe675064794320367616  :  look who we met @chloecoscarelli #vegannerds @ by chloe @link (40.7292519,-74.0009003)22772164
Loc: cafe grumpyName: cafe grumpy675067840664313856  :  a little cup of apploi artwork from our friends at cafe grumpy  @ cafe grumpy @link (40.742569,-73.9983902)1096189434
Loc: saravana bhavanName: saravana bhavan675068493067366401  :  nap time #curryhill #eeeeeats @ saravana bhavan ny @link (40.7413902,-73.9830475)19669460
Loc: the skylarkName: the skylark675068965882867713  :   #nyclife #newyorkstateofmind #empirestatebuilding #holidayparty @ the skylark @link (40.75420413,-73.98891103)43592141
Loc: cafe coletteName: cafe colette675069459334365184  :  #holidaycheers @ cafe colette @link (40.7196693,-73.9574814)80554153
Loc: tartineName: tartine675070022235111426  :  just posted a photo @ tartine restaurant @link (40.736351,-74.0034485)33344949
Loc: hummus placeName: hummus place675070091613085697  :  oh hummus how i love thee ?....#hummus #vegan #vegetarian#nyc #latelunch #uws #hummusplace @… @link (40.7800217,-73.9802475)24532775
Loc: ryehouseName: ryehouse675071983474909184  :  let the festivities begin at @ryehousenyc in new york ny @link (40.73830504,-73.99300887)135587069
Loc: hausName: haus675072273020280833  :  tonite spinning @haus_nyc #nyc @ haus @link (40.7208405,-74.004631)19648393
Loc: maceName: mace675073997428695040  :  miracle on 9th st #christmasbar (@ mace in new york ny @link (40.725421,-73.978191)14880408
Loc: the school at columbia universityName: the school at columbia university675074761253371905  :  first grade lunch duty is hilarious #teacherlife @ the school at columbia university @link (40.80372222,-73.96647222)9735142
Loc: maggies placeName: maggies place675076137727483904  :  always great on tap  drinking a morland old speckled hen by @greeneking at @maggiesplacenyc   @link (40.7561,-73.9771)9360092
Loc: death aveName: death ave675076392132956162  :  celebrating #nationallagerday ?#deathave #thirstythursday #nyc #chelsea #craftbeer #craftbrew… @link (40.7511215,-74.0020599)2938345270
Loc: gansoName: ganso675076758400552961  :  ramen night with @kristyanne04 @janzynails at @gansonyc in brooklyn ny @link (40.6889365,-73.98326397)201949141
Loc: agaveName: agave675077350569213956  :  #integer holiday dinnerparty (@ agave in new york ny @link (40.7347078,-74.0022482)21153149
Loc: the skylarkName: the skylark675078019434852353  :  and the christmas party debauchery begins @ the skylark @link (40.75420413,-73.98891103)18670869
Loc: home sweet homeName: home sweet home675078635192229896  :  tomorrow night shakin all over at home sweet home til 4am @ home sweet home @link (40.7195015,-73.9935074)24727763
Loc: palmaName: palma675080911910797312  :   #kiklyfe (@ palma in new york ny @link (40.73123866,-74.00234001)29099172
Loc: basil brick ovenName: basil brick oven675082123808743424  :   #life #pizza #relax #busy #nyc @ basil brick oven @link (40.7709389,-73.9199982)494359491
Loc: shake shackName: shake shack675082327047974912  :  @shakeshack date w momma  @ shake shack @link (40.68264,-73.97679)30744121
Loc: the back roomName: the back room675083022111219713  :  creeping in the corner @ the back room @link (40.7187195,-73.986908)153047750
Loc: harvard clubName: harvard club675087494736699393  :  a new experience for me (@ harvard club of new york city in new york ny @link (40.75556617,-73.98141031)143320470
Loc: down the hatchName: down the hatch675087681488076802  :  im at @downthehatch in new york ny @link (40.73233046,-74.00163991)16279888
Loc: pachaName: pacha675088473787879425  :  im at @pachanyc in new york ny @link (40.76362499,-73.99757624)5846662
Loc: hudson clearwaterName: hudson clearwater675088644466728964  :  im at hudson clearwater in new york ny @link (40.73107799,-74.00690228)4808321
Loc: the owl farmName: the owl farm675089786735038465  :  o is for owl farm @ the owl farm bar @link (40.6696205,-73.9866028)248742497
Loc: pachaName: pacha675090666783920129  :  horizon holiday party at @pachanyc in new york ny @link (40.76362499,-73.99757624)359192277
Loc: the standard east villageName: the standard east village675090704230711301  :  welcome to the bad bunny club @ the standard east village ny @link (40.7278786,-73.9907608)16834630
Loc: the standard east villageName: the standard east village675090764020514816  :  shouts to the  cc @standardhotels @ the standard east village ny @link (40.7278786,-73.9907608)1372786100
Loc: basil brick ovenName: basil brick oven675090805376290816  :  merry peppers  #peppers #astoria #astoriablvd #colors @ basil brick oven @link (40.7709389,-73.9199982)494359491
Loc: zuma new yorkName: zuma new york675091003511078912  :  reunited (@ zuma new york in new york ny w @mattrod) @link (40.75048893,-73.98085935)24238846
Loc: pachaName: pacha675091244360597504  :  #holiday party at @pachanyc in new york ny @link (40.76362499,-73.99757624)39554674
Loc: dear bushwickName: dear bushwick675092270987812864  :  im at @dearbushwick in brooklyn ny @link (40.70293194,-73.92913639)16650200
Loc: west bank cafeName: west bank cafe675093163267215360  :  im at @westbankcafe in new york ny @link (40.75876031,-73.9930205)14819061
Loc: casa nonnaName: casa nonna675093231332433921  :  im at @casanonna in new york ny @link @link (40.75518,-73.99274)183269168
Loc: westside theatreName: westside theatre675093437201424384  :  about to watch afas friend greg mullavey here in nyc   @ westside theatre @link (40.759568,-73.992507)15679642
Loc: papatzulName: papatzul675093988085538816  :  im at papatzul in new york ny @link (40.72228154,-74.00375743)30597520
Loc: corner socialName: corner social675094927295008770  :  im at @cornersocialny in new york ny @link (40.80853416,-73.94512372)113417270
Loc: rattle n humName: rattle n hum675095317092679680  :  #weddingparty #weddingweekend #thetasmans #covenant #liveitup @ rattle n hum @link (40.7472191,-73.9843063)15548291
Loc: the jeffreyName: the jeffrey675095657556942849  :  drinking a lunch by @mainebeerco at @thejeffreynyc  @link (40.761,-73.9629)32414366
Loc: silvanaName: silvana675095891225796616  :  im back to @silvananyc 12 #songwriter   #acousticfunk #harlem #newyearseve2016 #nyc @ silvana @link (40.80455349,-73.955671)919548282
Loc: greenwood parkName: greenwood park675095977087340544  :  bad to the bone  @ greenwood park beer garden @link (40.6593704,-73.9878769)20178557
Loc: the spotted pigName: the spotted pig675096020162895873  :  im at the spotted pig in new york ny @link (40.735697,-74.006838)43831158
Loc: the dublinerName: the dubliner675097046613925888  :  db holiday party time  at @thedublinernyc in new york ny @link (40.70425479,-74.0105173)253610455
Loc: lyceum theatreName: lyceum theatre675098001837326337  :  sitting onstage for a view from the bridge (@ lyceum theatre  @telecharge in new york ny @link @link (40.75771191,-73.98472754)19222156
Loc: facebookName: facebook675099416999690240  :  we signed the #facebook wall @ facebook ny @link (40.73069144,-73.99154129)7189372
Loc: huckleberry barName: huckleberry bar675099430786330627  :  finally doing our mixology class for @joeypantz's bday at @huckleberrybar in brooklyn ny @link (40.71113129,-73.94832676)17004113
Loc: montmartreName: montmartre675100302396268545  :  bday dinner with anna (@ montmartre in new york ny @link (40.74198258,-74.00062991)3137190118
Loc: the bar roomName: the bar room675100419572506624  :  8 at @thebarroomnyc in new york ny @link (40.76326229,-73.96863445)26028780
Loc: the diamondName: the diamond675100624011321347  :  save the date cancel all current plans karaoke new years at the diamond returns #newyears… @link (40.7267418,-73.9574966)13411712
Loc: iguanasName: iguanas675100640012554241  :  im at iguanas in fresh meadows ny @link (40.72683625,-73.78874777)951246169
Loc: amor cubanoName: amor cubano675101749733126144  :  #dinner with the #bestie wiselatina at #amorcubano in #elbarrio… @link (40.7947617,-73.942688)248534446
Loc: ramen labName: ramen lab675102465390456832  :  casa ramen from milan  @ ramen lab by sun noodle @link (40.72107551,-73.99620027)25459112
Loc: the edgeName: the edge675102759243378688  :  current view @ the edge @link (40.81966707,-73.94605161)54299761
Loc: commons cafeName: commons cafe675102829254729728  :  pinsky screening (@ commons cafe in brooklyn ny @link (40.68700841,-73.98553312)37895043
Loc: ippudo westsideName: ippudo westside675103867042942981  :  im at ippudo westside in new york ny @link (40.76338172,-73.98665013)15615483
Loc: ravel rooftopName: ravel rooftop675103907757072384  :  the sexiest enclosed  heated rooftop in queens#subefridays @ #penthouse808 #ravelrooftop 808 @link (40.75398634,-73.94948569)34945883
Loc: post officeName: post office675104197545734145  :  im at post office whiskey bar  @nickdilallo in brooklyn ny w @mnat @link (40.71053733,-73.95814222)12891942
Loc: juniperName: juniper675104437552181248  :  #christmasinthecity with some of my besties @ juniper bar @link (40.7524681,-73.9914627)78216737
