joe;1;12;29.5;0.012345679012345678
dishes;2;4;26.25;0.08333333333333333
legend;3;6;23.5;0.0625
stk;4;6;21.0;0.0625
princess;5;8;19.0;0.05263157894736842
wonderful;6;9;17.666666666666668;0.03333333333333333
dishes;7;4;16.75;0.08333333333333333
stk;8;6;15.5;0.0625
island;9;13;15.0;0.00641025641025641
almond;10;2;13.0;0.2
dishes;11;4;12.25;0.08333333333333333
spring;12;11;11.333333333333334;0.022727272727272728
1 oak;13;7;10.0;0.058823529411764705
aurora;14;1;9.5;1.0
juice;15;5;7.0;0.06666666666666667
talent;15;3;7.0;0.1111111111111111
joe;16;12;3.0;0.012345679012345678
joe;17;12;2.0;0.012345679012345678
cream;18;10;0.0;0.023255813953488372
