joe;1;3;29.5;0.3333333333333333
vai;2;1;21.0;1.0
max;3;1;14.333333333333334;1.0
tre;4;2;13.0;0.4
phoenix;5;1;8.0;1.0
on tap;6;1;6.5;1.0
joe;7;3;3.0;0.3333333333333333
joe;8;3;2.0;0.3333333333333333
